1A02: [['Q13469', 'P01100'], ['Q13469', 'P05412'], ['P01100', 'P05412']]
3NMS: [['P01024', 'P01024'], ['P01024', 'P01024'], ['P01024', 'P01024']]
3O4O: [['P01584', 'P27930'], ['P01584', 'Q9NPH3'], ['P27930', 'Q9NPH3']]
3OHX: [['P01024', 'P01024'], ['P01024', 'P01024'], ['P01024', 'P01024']]
3OJ4: [['P51668', 'P0CG48'], ['P51668', 'P21580'], ['P0CG48', 'P21580']]
3OJY: [['P07357', 'P07358'], ['P07357', 'P07360'], ['P07358', 'P07360']]
3P4F: [['P61964', 'Q15291'], ['P61964', 'Q03164'], ['Q15291', 'Q03164']]
3P56: [['O75792', 'Q5TBB1'], ['O75792', 'Q8TDP1'], ['Q5TBB1', 'Q8TDP1']]
3P5B: [['P01130', 'Q8NBP7'], ['P01130', 'Q8NBP7'], ['Q8NBP7', 'Q8NBP7']]
3P5C: [['Q8NBP7', 'Q8NBP7'], ['Q8NBP7', 'P01130'], ['Q8NBP7', 'P01130']]
3P6Z: [['P00734', 'P00734'], ['P00734', 'P12259'], ['P00734', 'P12259']]
3P70: [['P00734', 'P00734'], ['P00734', 'P12259'], ['P00734', 'P12259']]
3PDO: [['P01903', 'P01911'], ['P01903', 'P04233'], ['P01911', 'P04233']]
3PGC: [['P01903', 'P01911'], ['P01903', 'P04233'], ['P01911', 'P04233']]
3PGD: [['P01903', 'P01911'], ['P01903', 'P04233'], ['P01911', 'P04233']]
3PMH: [['P00734', 'P00734'], ['P00734', 'P07359'], ['P00734', 'P07359']]
3PO1: [['P00734', 'P00734'], ['P00734', 'P00734'], ['P00734', 'P00734']]
3PUF: [['O75792', 'Q5TBB1'], ['O75792', 'Q8TDP1'], ['Q5TBB1', 'Q8TDP1']]
3PWP: [['P04439', 'P61769'], ['P04439', 'P01848'], ['P61769', 'P01848']]
3Q95: [['P03372', 'P03372'], ['P03372', 'Q15596'], ['P03372', 'Q15596']]
3QAZ: [['P60568', 'P14784'], ['P60568', 'P31785'], ['P14784', 'P31785']]
3QDG: [['P04439', 'P61769'], ['P04439', 'P01848'], ['P61769', 'P01848']]
3QDJ: [['P04439', 'P61769'], ['P04439', 'P01848'], ['P61769', 'P01848']]
3QDM: [['P04439', 'P61769'], ['P04439', 'P01848'], ['P61769', 'P01848']]
3QDZ: [['P00734', 'P00734'], ['P00734', 'Q96RI0'], ['P00734', 'Q96RI0']]
3QEQ: [['P04439', 'P61769'], ['P04439', 'P01848'], ['P61769', 'P01848']]
3QXA: [['P01903', 'P01911'], ['P01903', 'P04233'], ['P01911', 'P04233']]
3QXD: [['P01903', 'P01911'], ['P01903', 'P04233'], ['P01911', 'P04233']]
3QZW: [['P04439', 'P61769'], ['P04439', 'P01732'], ['P61769', 'P01732']]
3R45: [['P49450', 'P62805'], ['P49450', 'Q8NCD3'], ['P62805', 'Q8NCD3']]
3RK2: [['P63027', 'P60880'], ['P63027', 'P60880'], ['P60880', 'P60880']]
3RPG: [['P61077', 'P35226'], ['P61077', 'Q99496'], ['P35226', 'Q99496']]
3S4S: [['P01903', 'P01911'], ['P01903', 'P01730'], ['P01911', 'P01730']]
3SDX: [['P15813', 'P61769'], ['P15813', 'P01848'], ['P61769', 'P01848']]
3SE3: [['P17181', 'P01563'], ['P17181', 'P48551'], ['P01563', 'P48551']]
3SE4: [['P17181', 'P05000'], ['P17181', 'P48551'], ['P05000', 'P48551']]
3SJV: [['P01889', 'P61769'], ['P01889', 'P01848'], ['P61769', 'P01848']]
3T4A: [['P01024', 'P01024'], ['P01024', 'P01024'], ['P01024', 'P01024']]
3TDU: [['Q96GG9', 'Q13616'], ['Q96GG9', 'P61081'], ['Q13616', 'P61081']]
3TDZ: [['Q96GG9', 'Q13616'], ['Q96GG9', 'P61081'], ['Q13616', 'P61081']]
3TH2: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
3TH3: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
3TH4: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
3TKS: [['Q13162', 'Q13162'], ['Q13162', 'Q13162'], ['Q13162', 'Q13162']]
3TQ7: [['Q15691', 'Q9UPY8'], ['Q15691', 'Q14203'], ['Q9UPY8', 'Q14203']]
3U88: [['O00255', 'Q03164'], ['O00255', 'O75475'], ['Q03164', 'O75475']]
3UTQ: [['P04439', 'P61769'], ['P04439', 'P01308'], ['P61769', 'P01308']]
3UTS: [['P04439', 'P61769'], ['P04439', 'P01308'], ['P61769', 'P01308']]
3UTT: [['P04439', 'P61769'], ['P04439', 'P01308'], ['P61769', 'P01308']]
3UU7: [['P03372', 'P03372'], ['P03372', 'Q15788'], ['P03372', 'Q15788']]
3UUA: [['P03372', 'P03372'], ['P03372', 'Q15788'], ['P03372', 'Q15788']]
3UUD: [['P03372', 'P03372'], ['P03372', 'Q15788'], ['P03372', 'Q15788']]
3UW9: [['O60885', 'P62805'], ['O60885', 'P62805'], ['P62805', 'P62805']]
3V5D: [['P04439', 'P61769'], ['P04439', 'E0YFW1'], ['P61769', 'E0YFW1']]
3V5H: [['P04439', 'P61769'], ['P04439', 'E0YFW1'], ['P61769', 'E0YFW1']]
3V5K: [['P04439', 'P61769'], ['P04439', 'E0YFW1'], ['P61769', 'E0YFW1']]
3VON: [['Q96FW1', 'Q15819'], ['Q96FW1', 'P61088'], ['Q15819', 'P61088']]
3VU7: [['Q9UBZ9', 'Q9UI95'], ['Q9UBZ9', 'O60673'], ['Q9UI95', 'O60673']]
3WN5: [['P01857', 'P01857'], ['P01857', 'P08637'], ['P01857', 'P08637']]
3WO4: [['Q14116', 'Q13478'], ['Q14116', 'O95256'], ['Q13478', 'O95256']]
3X11: [['P01889', 'P61769'], ['P01889', 'P01834'], ['P61769', 'P01834']]
3X12: [['P01889', 'P61769'], ['P01889', 'P01834'], ['P61769', 'P01834']]
3X1U: [['P68431', 'P62805'], ['P68431', 'P33778'], ['P62805', 'P33778']]
3X1V: [['P68431', 'P62805'], ['P68431', 'P04908'], ['P62805', 'P04908']]
3ZJY: [['P62826', 'O94829'], ['P62826', 'P47813'], ['O94829', 'P47813']]
3ZKJ: [['Q96DX5', 'Q15369'], ['Q96DX5', 'Q15370'], ['Q15369', 'Q15370']]
3ZMS: [['O60341', 'Q9UKL0'], ['O60341', 'Q01101'], ['Q9UKL0', 'Q01101']]
3ZNG: [['Q96DX5', 'Q15369'], ['Q96DX5', 'Q15370'], ['Q15369', 'Q15370']]
3ZRC: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
3ZRF: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
3ZTC: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
3ZTD: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
3ZUN: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
3ZYS: [['Q05193', 'P20591'], ['Q05193', 'Q05193'], ['P20591', 'Q05193']]
4A4B: [['P22681', 'P62837'], ['P22681', 'P43403'], ['P62837', 'P43403']]
4A4C: [['P22681', 'P43403'], ['P22681', 'P62837'], ['P43403', 'P62837']]
4AEN: [['P01903', 'P01911'], ['P01903', 'P04233'], ['P01911', 'P04233']]
4AJ5: [['Q8IX90', 'Q96BD8'], ['Q8IX90', 'Q8WVK7'], ['Q96BD8', 'Q8WVK7']]
4AUQ: [['P62837', 'P0CG48'], ['P62837', 'Q96CA5'], ['P0CG48', 'Q96CA5']]
4AWJ: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
4AWL: [['P23511', 'P25208'], ['P23511', 'Q13952'], ['P25208', 'Q13952']]
4AY9: [['P01215', 'P01225'], ['P01215', 'P23945'], ['P01225', 'P23945']]
4B95: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
4BCM: [['P24941', 'P20248'], ['P24941', 'P20248'], ['P20248', 'P20248']]
4BCN: [['P24941', 'P20248'], ['P24941', 'P20248'], ['P20248', 'P20248']]
4BKT: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
4BOS: [['Q5VVQ6', 'P0CG48'], ['Q5VVQ6', 'P0CG48'], ['P0CG48', 'P0CG48']]
4BWS: [['P83876', 'O60828'], ['P83876', 'O95400'], ['O60828', 'O95400']]
4C0D: [['A5YKK6', 'Q9NZN8'], ['A5YKK6', 'O75175'], ['Q9NZN8', 'O75175']]
4CAY: [['P0C0S5', 'P06899'], ['P0C0S5', 'Q9BTT0'], ['P06899', 'Q9BTT0']]
4CDC: [['P53634', 'P53634'], ['P53634', 'P53634'], ['P53634', 'P53634']]
4CDD: [['P53634', 'P53634'], ['P53634', 'P53634'], ['P53634', 'P53634']]
4CDE: [['P53634', 'P53634'], ['P53634', 'P53634'], ['P53634', 'P53634']]
4CDF: [['P53634', 'P53634'], ['P53634', 'P53634'], ['P53634', 'P53634']]
4CFE: [['P54646', 'Q9Y478'], ['P54646', 'P54619'], ['Q9Y478', 'P54619']]
4CFF: [['P54646', 'Q9Y478'], ['P54646', 'P54619'], ['Q9Y478', 'P54619']]
4CFU: [['P24941', 'P20248'], ['P24941', 'P20248'], ['P20248', 'P20248']]
4CH2: [['P00734', 'P00734'], ['P00734', 'P07359'], ['P00734', 'P07359']]
4CH8: [['P00734', 'P00734'], ['P00734', 'P07359'], ['P00734', 'P07359']]
4CQM: [['Q92506', 'Q8N4T8'], ['Q92506', 'Q92506'], ['Q8N4T8', 'Q92506']]
4CY2: [['P61964', 'Q9H9L4'], ['P61964', 'Q7Z3B3'], ['Q9H9L4', 'Q7Z3B3']]
4D0M: [['Q9UBF8', 'P62491'], ['Q9UBF8', 'O75154'], ['P62491', 'O75154']]
4D11: [['Q10471', 'Q10471'], ['Q10471', 'Q6FI18'], ['Q10471', 'Q6FI18']]
4D9R: [['P00746', 'P01834'], ['P00746', 'P01857'], ['P01834', 'P01857']]
4DAY: [['Q9H9A7', 'Q96E14'], ['Q9H9A7', 'Q8IYD8'], ['Q96E14', 'Q8IYD8']]
4DCK: [['Q14524', 'P0DP23'], ['Q14524', 'Q92913'], ['P0DP23', 'Q92913']]
4DEP: [['P01584', 'P14778'], ['P01584', 'Q9NPH3'], ['P14778', 'Q9NPH3']]
4DHJ: [['P0CG48', 'P0CG48'], ['P0CG48', 'P61088'], ['P0CG48', 'P61088']]
4DHZ: [['P0CG48', 'P0CG48'], ['P0CG48', 'P61088'], ['P0CG48', 'P61088']]
4DOH: [['Q9NYY1', 'Q6UXL0'], ['Q9NYY1', 'Q9UHF4'], ['Q6UXL0', 'Q9UHF4']]
4DQY: [['P09874', 'P09874'], ['P09874', 'P09874'], ['P09874', 'P09874']]
4DRB: [['Q8N2Z9', 'Q8IYD8'], ['Q8N2Z9', 'A8MT69'], ['Q8IYD8', 'A8MT69']]
4DT7: [['P00734', 'P00734'], ['P00734', 'P04070'], ['P00734', 'P04070']]
4DY7: [['P00734', 'P00734'], ['P00734', 'P07093'], ['P00734', 'P07093']]
4E+041: [['P01903', 'P01911'], ['P01903', 'P60174'], ['P01911', 'P60174']]
4E+045: [['Q8N2Z9', 'A8MT69'], ['Q8N2Z9', 'Q8IYD8'], ['A8MT69', 'Q8IYD8']]
4EJX: [['P05164', 'P05164'], ['P05164', 'P00450'], ['P05164', 'P00450']]
4EUP: [['P04439', 'P61769'], ['P04439', 'Q16655'], ['P61769', 'Q16655']]
4EXT: [['Q9UBZ9', 'O60673'], ['Q9UBZ9', 'Q9UI95'], ['O60673', 'Q9UI95']]
4F52: [['Q13616', 'P62877'], ['Q13616', 'Q92990'], ['P62877', 'Q92990']]
4FAO: [['Q9UK05', 'P37023'], ['Q9UK05', 'Q13705'], ['P37023', 'Q13705']]
4FTG: [['P60903', 'P07355'], ['P60903', 'Q09666'], ['P07355', 'Q09666']]
4FZD: [['Q9Y376', 'Q9P289'], ['Q9Y376', 'Q9P289'], ['Q9P289', 'Q9P289']]
4GDK: [['O94817', 'Q9H1Y0'], ['O94817', 'Q676U5'], ['Q9H1Y0', 'Q676U5']]
4GDL: [['O94817', 'Q9H1Y0'], ['O94817', 'Q676U5'], ['Q9H1Y0', 'Q676U5']]
4GK0: [['Q9UI95', 'O60673'], ['Q9UI95', 'Q9UBZ9'], ['O60673', 'Q9UBZ9']]
4GQB: [['O14744', 'Q9BQA1'], ['O14744', 'P62805'], ['Q9BQA1', 'P62805']]
4GUR: [['Q8NB78', 'Q49A26'], ['Q8NB78', 'P84243'], ['Q49A26', 'P84243']]
4GUS: [['Q8NB78', 'Q49A26'], ['Q8NB78', 'P84243'], ['Q49A26', 'P84243']]
4H9N: [['P84243', 'P62805'], ['P84243', 'Q9UER7'], ['P62805', 'Q9UER7']]
4H9O: [['P84243', 'P62805'], ['P84243', 'Q9UER7'], ['P62805', 'Q9UER7']]
4H9P: [['P84243', 'P62805'], ['P84243', 'Q9UER7'], ['P62805', 'Q9UER7']]
4H9Q: [['P84243', 'P62805'], ['P84243', 'Q9UER7'], ['P62805', 'Q9UER7']]
4H9R: [['P84243', 'P62805'], ['P84243', 'Q9UER7'], ['P62805', 'Q9UER7']]
4H9S: [['P84243', 'P62805'], ['P84243', 'Q9UER7'], ['P62805', 'Q9UER7']]
4HDQ: [['O00522', 'P61224'], ['O00522', 'Q9ULI3'], ['P61224', 'Q9ULI3']]
4HGA: [['Q9UER7', 'P84243'], ['Q9UER7', 'P62805'], ['P84243', 'P62805']]
4HMY: [['Q10567', 'Q96PC3'], ['Q10567', 'P84077'], ['Q96PC3', 'P84077']]
4HX1: [['P04439', 'P61769'], ['P04439', 'P40126'], ['P61769', 'P40126']]
4IBL: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
4IMY: [['P50750', 'O60563'], ['P50750', 'Q9UHB7'], ['O60563', 'Q9UHB7']]
4IS6: [['P01903', 'P40967'], ['P01903', 'P01911'], ['P40967', 'P01911']]
4JPZ: [['Q92913', 'Q99250'], ['Q92913', 'P0DP23'], ['Q99250', 'P0DP23']]
4JQ0: [['Q14524', 'P61328'], ['Q14524', 'P0DP23'], ['P61328', 'P0DP23']]
4K24: [['P00749', 'P04004'], ['P00749', 'Q03405'], ['P04004', 'Q03405']]
4K71: [['P02768', 'P55899'], ['P02768', 'P61769'], ['P55899', 'P61769']]
4KNG: [['O75473', 'Q2MKA7'], ['O75473', 'Q68DV7'], ['Q2MKA7', 'Q68DV7']]
4L3E: [['P04439', 'P61769'], ['P04439', 'Q16655'], ['P61769', 'Q16655']]
4L4T: [['Q95460', 'P61769'], ['Q95460', 'P01850'], ['P61769', 'P01850']]
4LAC: [['Q15257', 'P30153'], ['Q15257', 'P67775'], ['P30153', 'P67775']]
4LDT: [['P0CG48', 'P62837'], ['P0CG48', 'P0CG48'], ['P62837', 'P0CG48']]
4MCY: [['P01903', 'P01911'], ['P01903', 'P08670'], ['P01911', 'P08670']]
4MCZ: [['P01903', 'P01911'], ['P01903', 'P08670'], ['P01911', 'P08670']]
4MD0: [['P01903', 'P01911'], ['P01903', 'P08670'], ['P01911', 'P08670']]
4MD4: [['P01903', 'P01911'], ['P01903', 'P16112'], ['P01911', 'P16112']]
4MD5: [['P01903', 'P01911'], ['P01903', 'P08670'], ['P01911', 'P08670']]
4MDI: [['P01903', 'P01911'], ['P01903', 'P08670'], ['P01911', 'P08670']]
4MDJ: [['P01903', 'P01911'], ['P01903', 'P08670'], ['P01911', 'P08670']]
4MG7: [['P03372', 'Q15788'], ['P03372', 'P03372'], ['Q15788', 'P03372']]
4MG8: [['P03372', 'P03372'], ['P03372', 'Q15788'], ['P03372', 'Q15788']]
4MG9: [['P03372', 'P03372'], ['P03372', 'Q15788'], ['P03372', 'Q15788']]
4MGA: [['P03372', 'P03372'], ['P03372', 'Q15788'], ['P03372', 'Q15788']]
4MGB: [['P03372', 'P03372'], ['P03372', 'Q15788'], ['P03372', 'Q15788']]
4MGD: [['P03372', 'P03372'], ['P03372', 'Q15788'], ['P03372', 'Q15788']]
4MMX: [['P06756', 'P02751'], ['P06756', 'P05106'], ['P02751', 'P05106']]
4MMY: [['P06756', 'P05106'], ['P06756', 'P02751'], ['P05106', 'P02751']]
4MMZ: [['P05106', 'P02751'], ['P05106', 'P06756'], ['P02751', 'P06756']]
4MQW: [['P01215', 'P01225'], ['P01215', 'P23945'], ['P01225', 'P23945']]
4MXW: [['P36941', 'P01374'], ['P36941', 'Q06643'], ['P01374', 'Q06643']]
4N0F: [['P55899', 'P61769'], ['P55899', 'P02768'], ['P61769', 'P02768']]
4N8V: [['P43631', 'P04439'], ['P43631', 'P61769'], ['P04439', 'P61769']]
4NE9: [['Q8NBP7', 'Q8NBP7'], ['Q8NBP7', 'P01130'], ['Q8NBP7', 'P01130']]
4NGE: [['Q5JRX3', 'P05067'], ['Q5JRX3', 'Q5JRX3'], ['P05067', 'Q5JRX3']]
4NKQ: [['P32927', 'P04141'], ['P32927', 'P15509'], ['P04141', 'P15509']]
4NM5: [['P49841', 'O15169'], ['P49841', 'O75581'], ['O15169', 'O75581']]
4NM7: [['P49841', 'O15169'], ['P49841', 'O75581'], ['O15169', 'O75581']]
4NNX: [['P04439', 'P61769'], ['P04439', 'Q9BZL6'], ['P61769', 'Q9BZL6']]
4NNY: [['P04439', 'P61769'], ['P04439', 'Q9BZL6'], ['P61769', 'Q9BZL6']]
4NO2: [['P04439', 'P61769'], ['P04439', 'P33241'], ['P61769', 'P33241']]
4NO3: [['P04439', 'P61769'], ['P04439', 'Q01433'], ['P61769', 'Q01433']]
4NO5: [['P04439', 'P61769'], ['P04439', 'Q01433'], ['P61769', 'Q01433']]
4NQA: [['P19793', 'P55055'], ['P19793', 'Q15596'], ['P55055', 'Q15596']]
4NYI: [['P01112', 'P01112'], ['P01112', 'Q07889'], ['P01112', 'Q07889']]
4NYJ: [['P01112', 'P01112'], ['P01112', 'Q07889'], ['P01112', 'Q07889']]
4NYM: [['P01112', 'P01112'], ['P01112', 'Q07889'], ['P01112', 'Q07889']]
4O2C: [['P01889', 'P61769'], ['P01889', 'O00571'], ['P61769', 'O00571']]
4O2E: [['P01889', 'P61769'], ['P01889', 'O00571'], ['P61769', 'O00571']]
4O2F: [['P01889', 'P61769'], ['P01889', 'O00571'], ['P61769', 'O00571']]
4OGR: [['P50750', 'O60563'], ['P50750', 'Q9UHB7'], ['O60563', 'Q9UHB7']]
4OGX: [['P03952', 'S6C4R2'], ['P03952', 'Q7Z3Y4'], ['S6C4R2', 'Q7Z3Y4']]
4OGY: [['P03952', 'S6C4R2'], ['P03952', 'Q7Z3Y4'], ['S6C4R2', 'Q7Z3Y4']]
4OQT: [['Q96FE5', 'Q6PIL8'], ['Q96FE5', 'S6B291'], ['Q6PIL8', 'S6B291']]
4OR5: [['P50750', 'O60563'], ['P50750', 'Q9UHB7'], ['O60563', 'Q9UHB7']]
4ORH: [['P61088', 'Q15819'], ['P61088', 'O76064'], ['Q15819', 'O76064']]
4OV5: [['P01903', 'P04439'], ['P01903', 'P01911'], ['P04439', 'P01911']]
4OV6: [['Q8NBP7', 'A0A075B5G3'], ['Q8NBP7', 'Q8NBP7'], ['A0A075B5G3', 'Q8NBP7']]
4OWT: [['Q68E01', 'Q9BQ15'], ['Q68E01', 'Q9NRY2'], ['Q9BQ15', 'Q9NRY2']]
4OWW: [['Q68E01', 'Q9BQ15'], ['Q68E01', 'Q9NRY2'], ['Q9BQ15', 'Q9NRY2']]
4P4H: [['P62987', 'O95786'], ['P62987', 'Q7Z434'], ['O95786', 'Q7Z434']]
4P6Z: [['P61966', 'Q10567'], ['P61966', 'Q10589'], ['Q10567', 'Q10589']]
4Q9U: [['Q9UJ41', 'P20339'], ['Q9UJ41', 'Q15276'], ['P20339', 'Q15276']]
4QOK: [['P04439', 'P61769'], ['P04439', 'Q16655'], ['P61769', 'Q16655']]
4R2G: [['P01730', 'P0DOY3'], ['P01730', 'P0DOX5'], ['P0DOY3', 'P0DOX5']]
4R3Z: [['Q12904', 'P54136'], ['Q12904', 'P47897'], ['P54136', 'P47897']]
4R8P: [['P35226', 'Q99496'], ['P35226', ' P61077'], ['Q99496', ' P61077']]
4RER: [['Q13131', 'O43741'], ['Q13131', 'P54619'], ['O43741', 'P54619']]
4REW: [['Q13131', 'O43741'], ['Q13131', 'P54619'], ['O43741', 'P54619']]
4S3O: [['P61077', 'Q99496'], ['P61077', 'Q86SE9'], ['Q99496', 'Q86SE9']]
4TUZ: [['P03372', 'P03372'], ['P03372', 'Q15788'], ['P03372', 'Q15788']]
4TV1: [['P03372', 'P03372'], ['P03372', 'Q15788'], ['P03372', 'Q15788']]
4TXR: [['Q7LBR1', 'Q9NP79'], ['Q7LBR1', 'Q9NZZ3'], ['Q9NP79', 'Q9NZZ3']]
4U7T: [['Q9Y6K1', 'Q9UJW3'], ['Q9Y6K1', 'P84243'], ['Q9UJW3', 'P84243']]
4UEL: [['Q9Y5K5', 'P0CG47'], ['Q9Y5K5', 'Q16186'], ['P0CG47', 'Q16186']]
4UF6: [['Q6P4R8', 'Q9Y5K5'], ['Q6P4R8', 'P0CG47'], ['Q9Y5K5', 'P0CG47']]
4UFS: [['O75473', 'Q8BFU0'], ['O75473', 'Q9ULT6'], ['Q8BFU0', 'Q9ULT6']]
4UIS: [['Q92542', 'D9IEF7'], ['Q92542', 'P49768'], ['D9IEF7', 'P49768']]
4UJ3: [['P62491', 'Q96QF0'], ['P62491', 'O75154'], ['Q96QF0', 'O75154']]
4UJ4: [['P62491', 'Q96QF0'], ['P62491', 'O75154'], ['Q96QF0', 'O75154']]
4V3K: [['P62837', 'Q9H0F5'], ['P62837', 'P0CG48'], ['Q9H0F5', 'P0CG48']]
4V3L: [['P62837', 'P0CG48'], ['P62837', 'Q9H0F5'], ['P0CG48', 'Q9H0F5']]
4W9C: [['Q15369', 'Q15370'], ['Q15369', 'P40337'], ['Q15370', 'P40337']]
4W9D: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
4W9E: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
4W9F: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
4W9G: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
4W9I: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
4W9J: [['Q15369', 'P40337'], ['Q15369', 'Q15370'], ['P40337', 'Q15370']]
4W9K: [['Q15369', 'Q15370'], ['Q15369', 'P40337'], ['Q15370', 'P40337']]
4W9L: [['Q15369', 'Q15370'], ['Q15369', 'P40337'], ['Q15370', 'P40337']]
4WB6: [['P17612', 'P17612'], ['P17612', 'P61925'], ['P17612', 'P61925']]
4WHV: [['P61088', 'O76064'], ['P61088', 'P0CG47'], ['O76064', 'P0CG47']]
4WJ5: [['P04439', 'P61769'], ['P04439', 'Q16655'], ['P61769', 'Q16655']]
4WJG: [['P69905', 'P68871'], ['P69905', 'P00738'], ['P68871', 'P00738']]
4WUU: [['P04439', 'P61769'], ['P04439', 'P19544'], ['P61769', 'P19544']]
4X0L: [['P69905', 'P68871'], ['P69905', 'P00738'], ['P68871', 'P00738']]
4X5W: [['P01903', 'P01911'], ['P01903', 'P04233'], ['P01911', 'P04233']]
4XSS: [['P05019', 'P06213'], ['P05019', 'P08069'], ['P06213', 'P08069']]
4XXD: [['P01834', 'P05067'], ['P01834', 'P01857'], ['P05067', 'P01857']]
4Y19: [['P01903', 'P01911'], ['P01903', 'P01308'], ['P01911', 'P01308']]
4Y1A: [['P01903', 'P01911'], ['P01903', 'P01308'], ['P01911', 'P01308']]
4Y72: [['P06493', 'P14635'], ['P06493', 'P33552'], ['P14635', 'P33552']]
4Y99: [['P63316', 'P45379'], ['P63316', 'P19429'], ['P45379', 'P19429']]
4YC3: [['P06493', 'P14635'], ['P06493', 'P33552'], ['P14635', 'P33552']]
4YLQ: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
4Z2M: [['Q9Y5B9', 'P68431'], ['Q9Y5B9', 'P62805'], ['P68431', 'P62805']]
4Z6A: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
4ZHX: [['P54646', 'Q9Y478'], ['P54646', 'P54619'], ['Q9Y478', 'P54619']]
4ZMA: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
4ZO1: [['P10828', 'Q15596'], ['P10828', 'P19793'], ['Q15596', 'P19793']]
5ANR: [['A5YKK6', 'P26196'], ['A5YKK6', 'Q9NRA8'], ['P26196', 'Q9NRA8']]
5BNV: [['P84243', 'P62805'], ['P84243', 'P49736'], ['P62805', 'P49736']]
5BO4: [['O14508', 'Q15370'], ['O14508', 'Q15369'], ['Q15370', 'Q15369']]
5BQ8: [['Q00604', 'Q00604'], ['Q00604', 'Q00604'], ['Q00604', 'Q00604']]
5BQE: [['Q00604', 'Q00604'], ['Q00604', 'Q9ULV1'], ['Q00604', 'Q9ULV1']]
5C0D: [['P04439', 'P61769'], ['P04439', 'P01308'], ['P61769', 'P01308']]
5C7K: [['S6B291', 'P01857'], ['S6B291', 'P01834'], ['P01857', 'P01834']]
5CBA: [['A0A0B4J2H0', 'P01704'], ['A0A0B4J2H0', 'O43927'], ['P01704', 'O43927']]
5CBE: [['A0A0B4J2H0', 'P01704'], ['A0A0B4J2H0', 'O43927'], ['P01704', 'O43927']]
5CVN: [['Q8TAF3', 'P62068'], ['Q8TAF3', 'P0CG47'], ['P62068', 'P0CG47']]
5CVO: [['Q8TAF3', 'P0CG47'], ['Q8TAF3', 'P62068'], ['P0CG47', 'P62068']]
5D0K: [['P62837', 'Q6ZSG1'], ['P62837', 'P0CG47'], ['Q6ZSG1', 'P0CG47']]
5D0M: [['P62837', 'Q6ZSG1'], ['P62837', 'P0CG47'], ['Q6ZSG1', 'P0CG47']]
5DEF: [['P01889', 'P61769'], ['P01889', 'P32241'], ['P61769', 'P32241']]
5DEG: [['P01889', 'P61769'], ['P01889', 'P32241'], ['P61769', 'P32241']]
5DIS: [['O14980', 'P62826'], ['O14980', 'O95149'], ['P62826', 'O95149']]
5DX3: [['P03372', 'P03372'], ['P03372', 'Q15596'], ['P03372', 'Q15596']]
5DXB: [['P03372', 'P03372'], ['P03372', 'Q15596'], ['P03372', 'Q15596']]
5: [['P04439', 'P61769'], ['P04439', 'Q76R61'], ['P61769', 'Q76R61']]
5E4E: [['P35225', 'P24394'], ['P35225', 'P78552'], ['P24394', 'P78552']]
5E6I: [['K7N5M3', 'P04439'], ['K7N5M3', 'P61769'], ['P04439', 'P61769']]
5EDV: [['Q96EP0', 'P62837'], ['Q96EP0', 'P0CG47'], ['P62837', 'P0CG47']]
5EU3: [['P04439', 'P61769'], ['P04439', 'P40967'], ['P61769', 'P40967']]
5EWZ: [['P63104', 'Q9UQC2'], ['P63104', 'Q9UQC2'], ['Q9UQC2', 'Q9UQC2']]
5EYA: [['P61088', 'Q14258'], ['P61088', 'P0CG47'], ['Q14258', 'P0CG47']]
5F0J: [['Q96QK1', 'O75436'], ['Q96QK1', 'O60493'], ['O75436', 'O60493']]
5F6L: [['Q15291', 'Q9UBL3'], ['Q15291', 'Q03164'], ['Q9UBL3', 'Q03164']]
5FA5: [['Q9BQA1', 'P62805'], ['Q9BQA1', 'O14744'], ['P62805', 'O14744']]
5FFO: [['P06756', 'P18564'], ['P06756', 'P01137'], ['P18564', 'P01137']]
5FO8: [['P01024', 'P01024'], ['P01024', 'P15529'], ['P01024', 'P15529']]
